"","ORDERDATE","OPRID","SUBDIVISIONS","SHIPNAME","DELIVERYPORT","IPTALSEBEP","LDELIVERYEXPENCES","LLAUNCHSERVICE","LOTHEREXPENSES"
"1",2015-05-06,"Cancelled","CATERING","CS CIHAN","Algeciras","turkiyeden alinma karari alindi",0,0,0
"2",2015-05-07,"Cancelled","CATERING","NAHIDE M","Altamira","Yeniden girilecek",0,0,0
"3",2015-05-11,"Cancelled","CATERING","BEKS CENK","Rio Grande(BRA)","Mükerrer açildi",0,0,0
"4",2015-05-13,"Cancelled","CATERING","KAPTAN ARIF BAYRAKTAR","Suez","çinde alacak",0,0,0
"5",2015-05-13,"Cancelled","CATERING","SELIN-M","San Nicolas(ARG)","Acenta sorunundan dolayi farkli bir limanda ikmal yapilacak.",0,0,0
"6",2015-05-20,"Cancelled","CATERING","CS CIHAN","Aliaga","LIMAN DEGISIKLIGI",0,0,0
"7",2015-05-20,"Cancelled","CATERING","ARCTIC OCEAN","Umm Qasr","UMM QASR IKMALI YAPILMADI",0,0,0
"8",2015-06-08,"Cancelled","CATERING","NIHAT M","New Orleans","Iptal",0,0,0
"9",2015-06-08,"Cancelled","CATERING","BEKS NAZIK","Sohar","LIMAN DEGISIKLIGI",0,0,0
"10",2015-06-16,"Cancelled","CATERING","KAPTAN ERDOGAN","Zeyport","dosya hata veriyor, tekrar açilacak",0,0,0
"11",2015-06-18,"Cancelled","CATERING","YM PLUTO","Aliaga","CEVAP VERMEDI",0,0,0
"12",2015-06-22,"Cancelled","CATERING","YM JUPITER","Iskenderun","LIMAN DEGISIKLIGI",0,0,0
"13",2015-06-23,"Cancelled","CATERING","YM NEPTUNE","Jeddah","LIMAN DEGISIKLIGI",0,0,0
"14",2015-06-26,"Cancelled","CATERING","SCUBA","Livorno","LIMANI DEGISTI.",0,0,0
"15",2015-06-27,"Cancelled","CATERING","OCEAN SPIRIT","Zeyport","hata veriyor yeniden acildi teklif",0,0,0
"16",2015-06-29,"Cancelled","CATERING","BEKS YILMAZ","Barcelona","LIMAN DEGISIKLIGI",0,0,0
"17",2015-07-01,"Cancelled","CATERING","CT DUBLIN","Kandla","PORT CHANGE TO BIN QASIM PAKISTAN",90,0,0
"18",2015-07-03,"Cancelled","CATERING","UTA","Port Name","YANLIS ACILDI
",0,0,0
"19",2015-07-06,"Cancelled","CATERING","NIMET","Castellon","Supplied at Valencia",430,0,0
"20",2015-07-07,"Cancelled","CATERING","BEKS CENK","Aqaba","LIMAN DEGISIKLIGI",0,0,0
"21",2015-07-09,"Cancelled","CATERING","KIRAN EURASIA","Durban","TEDARIKCIMIZ GEMIYI KACIRDI",0,0,0
"22",2015-07-12,"Cancelled","CATERING","KIRAN CHINA","Fangcheng","KAPTANDAN ISTEK GEC GELDI VE VERGIGI ETA DAN 1 GUN ONCE GELDI, BUNDAN DOLAYI IKMALCI KUMANYAYI YETISTIREMEDI",0,0,0
"23",2015-07-12,"Cancelled","CATERING","ARCTIC OCEAN","Sohar","bu dosya deneme amaçli yanlislikla açilmisti",0,0,0
"24",2015-07-16,"Cancelled","CATERING","KAPTAN ARIF BAYRAKTAR","Singapore","dosyayi Ahmet bey açti, gemiden gelen AVS programinda karsiklik olmus.. liste yanlis oldugundan iptal ediyorum",0,0,0
"25",2015-07-20,"Cancelled","CATERING","HIZIR G","Singapore","iptal etmistim ama olmamis",0,0,0
"26",2015-07-21,"Cancelled","CATERING","BEGONIA S","Haifa","Gemi ETCsinden önce limandan ayrildi",0,0,0
"27",2015-07-27,"Cancelled","CATERING","OCEAN SPIRIT","Zeyport","Çift dosya",0,0,0
"28",2015-07-28,"Cancelled","CATERING","SIDER VEGA","Batangas","Dosyada sorunlar oldugundan yeni dosya açilmak üzere iptal edilmistir.",30,0,0
"29",2015-07-28,"Cancelled","CATERING","YM MARS","Aliaga","LIMAN DEGISIKLIGI",0,0,0
"30",2015-07-28,"Cancelled","CATERING","SIDER DREAM","Singapore","Istek listesini revize etmiyor, yeniden olusturulacaktir.",0,0,0
"31",2015-07-30,"Cancelled","CATERING","ARCTIC OCEAN","Akcay","DENEME DOSYASIDIR",0,0,0
"32",2015-07-30,"Cancelled","CATERING","RIVER THAMES","Iskenderun","YANLISLIKLA 2X ACILDI",0,0,0
"33",2015-07-31,"Cancelled","CATERING","RIVER THAMES","Iskenderun","AHMET BEYIN GEMISI",0,0,0
"34",2015-07-31,"Cancelled","CATERING","RIVER THAMES","Iskenderun","INVOICED WITH CATERING ",0,0,0
"35",2015-08-03,"Cancelled","CATERING","FILIBOZ","Zeyport","ONAYLANMADI",0,0,0
"36",2015-08-03,"Cancelled","CATERING","SAMSKIP INNOVATOR","Rotterdam","CASH ON BOARD",0,0,0
"37",2015-08-04,"Cancelled","CATERING","ORUC G","Abidjan","HATA OLDU ",0,0,0
"38",2015-08-05,"Cancelled","CATERING","CHRISTA","Rotterdam","FATURA AYRI KESILMEDIGI ICIN CATERING DOSYASINA DAHIL EDILDI",0,0,0
"39",2015-08-06,"Cancelled","CATERING","SIDER MOON","Bandar Abbas","ikmal yetistirilemedi.",0,0,0
"40",2015-08-07,"Cancelled","CATERING","ZEALAND ARIANE","Mina Saqr","FAZLA AÇILMIS BIR DOSYADIR",0,0,0
"41",2015-08-07,"Cancelled","CATERING","BEGONIA S","Zeyport","ONAYLANMADI",0,0,0
"42",2015-08-10,"Cancelled","CATERING","POCHARD S","Iskenderun","tekrardan yeni dosya açaçagim",150,0,0
"43",2015-08-10,"Cancelled","CATERING","CT WICKLOW","Rio de Janeiro","IKMAL GERÇEKLESMEDI",0,0,0
"44",2015-08-10,"Cancelled","CATERING","ORUC G","Ponta Delgada(AZO)","bu limanda ikmal yapmaktan vazgeçildi",125,0,0
"45",2015-08-10,"Cancelled","CATERING","ANZER","Zeyport","MUSTERI ONAY VERMEDI",0,0,0
"46",2015-08-11,"Cancelled","CATERING","OVIT","Zeyport","IKMAL GERCEKLESMEDI",0,0,0
"47",2015-08-13,"Cancelled","CATERING","YM NEPTUNE","Aliaga","DOSYA IPTAL",0,0,0
"48",2015-08-13,"Cancelled","CATERING","GALA TRIO ","Haifa","IKMAL EDILDI, CASH ON BOARD YAPILDI AMA KUCUK BIR IKMAL DOLAYISIYLA KOMISYON ALMADIK -- FATURA KESILMEYECEK",0,0,0
"49",2015-08-14,"Cancelled","CATERING","CT WICKLOW","Las Palmas","MUSTERI TARAFINDAN ISTEK IPTAL EDILDI",0,0,0
"50",2015-08-17,"Cancelled","CATERING","BEKS CENK","Aqaba","SIPARIS VERILMEDI",0,0,0
"51",2015-08-17,"Cancelled","CATERING","KAPTAN ARIF BAYRAKTAR","Bandar Abbas","edit excell update ederken program takildi",0,0,0
"52",2015-08-19,"Cancelled","CATERING","CT WICKLOW","Ceuta","IKMAL LAS PALMASDA OLACAK",0,0,0
"53",2015-08-19,"Cancelled","CATERING","CT WICKLOW","Ceuta","IKMAL LAS PALMASTA OLACAK",0,0,0
"54",2015-08-20,"Cancelled","CATERING","ORUC G","Abidjan","BIRIM KISITLAMASI",0,0,0
"55",2015-08-20,"Cancelled","CATERING","ORUC G","Abidjan","BIRIM PROBLEMI",0,0,0
"56",2015-08-21,"Cancelled","CATERING","KAPTAN ERDOGAN","Zeyport","ONAY VERMEDILER",0,0,0
"57",2015-08-23,"Cancelled","CATERING","HIZIR G","Singapore","ILK YARATTIGIM DOSYA GÖRÜNMEDIGI IÇIN 2 CI KEZ YARATTIM, SONRA 2 TANE YARATTIGINI GÖRDÜM BIRINI IPTAL EDIYORUM",0,0,0
"58",2015-08-24,"Cancelled","CATERING","PUFFIN S","Zeyport","TEKRAR AÇILACAK DOSYADA HATA VAR",0,0,0
"59",2015-08-25,"Cancelled","CATERING","VATAN L","Zeyport","SIRKET KENDISI TEYMIN EDECEK",0,0,0
"60",2015-08-25,"Cancelled","CATERING","NIMET","Beirut","MUSTERI ONAY VERMEDI",0,0,0
"61",2015-08-29,"Cancelled","CATERING","FILYOZ","Zeyport","MUSTERI ONAY VERMEDI",0,0,0
"62",2015-08-31,"Cancelled","CATERING","ARUNA ISMAIL","Da Nang","LIMAN DEGISIKLIGI",0,0,0
"63",2015-08-31,"Cancelled","CATERING","HARMONY S","Samsun","ISTEK IPTAL EDILMISTER ",100,0,0
"64",2015-08-31,"Cancelled","CATERING","URGENCE","Zeyport","MUSTERI TARAFINDAN IPTAL EDILDI",0,0,0
"65",2015-09-02,"Cancelled","CATERING","BEKS NAZIK","Singapore","siparis alinmadi",0,0,0
"66",2015-09-03,"Cancelled","CATERING","BEKS YILMAZ","Richards Bay","SIPARIS ALINMADI",0,0,0
"67",2015-09-09,"Cancelled","CATERING","MV MEDKON RIZE","Mumbai","ONAYLANMADI.",90,0,0
"68",2015-09-10,"Cancelled","CATERING","HARMONY S","Trabzon","LIMAN DEGISIKLIGI",350,0,0
"69",2015-09-11,"Cancelled","CATERING","KIRAN AUSTRALIA","Prince Rupert","PRINCE RUPERT limaninda tedarikci bulunamadigindan dolayi gemi kaptani kendi credi carti ile market ten alim yapmistir.. Kiran denizcilik faturalari bize iletecek ve Manday faturadan Credit note kesecegiz..",2000,0,0
"70",2015-09-14,"Cancelled","CATERING","NACC POROS","Piombino","Kaptan kendi aldi.",0,0,0
"71",2015-09-16,"Cancelled","CATERING","KIRAN ADRIATIC","Prince Rupert","PRINCE RUPERT limaninda tedarikci bulunamadigindan dolayi gemi kaptani kendi credi carti ile market ten alim yapmistir.. Kiran denizcilik faturalari bize iletecek ve Manday faturadan Credit note kesecegiz..",0,0,0
"72",2015-09-16,"Cancelled","CATERING","SIDER SUN","Venice (Porto Marghera)","Bir sonraki kumanya ikmali ile birlikte yapilacaktir.",0,0,0
"73",2015-09-18,"Cancelled","CATERING","BEGONIA S","Zeyport","Liman degisikligi olmustur ve ikmalin bir kisminin Ashdod bir kisminin Zeyportta yapilmasina karar verilmistir. Bu sebeple yeni istek, iptal edilen istek üzerinden tekrar açilmistir.",0,0,0
"74",2015-09-19,"Cancelled","CATERING","KAPTAN ERDOGAN","Zeyport","Varolan catering dosyasi içine açilmak istenirken, yanlislikla açilmistir.",0,0,0
"75",2015-09-21,"Cancelled","CATERING","PUFFIN S","Annaba","Süvari Beyle konusularak, ikmalin Alcanar Limaninda yapilmasina karar verilmistir.",0,0,0
"76",2015-09-21,"Cancelled","CATERING","SERRA MERT","Tekirdag","BIR ONCEKI LIMANDAN ALIM YAPILDI",300,0,0
"77",2015-09-21,"Cancelled","CATERING","SIDER VEGA","Manila","Gemi satilmistir.",120,0,0
"78",2015-09-21,"Cancelled","CATERING","CAJU","Skagen","NOT POSSIBLE",0,0,0
"79",2015-09-23,"Cancelled","CATERING","ARUNA ECE","Singapore","LIMAN DEGISIKLIGI",0,0,0
"80",2015-09-26,"Cancelled","CATERING","CS CIHAN","Tarragona","Ali Kuzu ve kaptanla yapilan görüsme sonucu, ikmalin Derincede yapilmasina karar verilmistir.",0,0,0
"81",2015-09-28,"Cancelled","CATERING","LADY MOON(EX. ANA-M)","Douala","FIYARLAR COK PAHALI - GELECEK LIMANA OTELEDIK",0,0,0
"82",2015-09-30,"Cancelled","CATERING","FILYOZ","Batumi","IKMAL IPTAL",0,0,0
"83",2015-09-30,"Cancelled","CATERING","OCEAN RUBY","Amasra","Test dosyasidir.",0,0,0
"84",2015-09-30,"Cancelled","CATERING","ARUNA HULYA","Singapore","SIPARIS ALINMADI",0,0,0
"85",2015-10-06,"Cancelled","CATERING","BEKS CEYDA","Zhoushan","istek iptal edildi",0,0,0
"86",2015-10-09,"Cancelled","CATERING","BEKS CENK","Fujairah","liman degisikligi",0,0,0
"87",2015-10-09,"Cancelled","CATERING","BEKS CENK","Durban","liman degisikligi",0,0,0
"88",2015-10-12,"Cancelled","CATERING","VATAN L","Huelva","Kumanya istek listesinde degisiklik olmustur. Listenin son halinde soda istegi bulunmamaktadir.",0,0,0
"89",2015-10-12,"Cancelled","CATERING","SERRA MERT","Yumurtalik","YANLIS DOSYA ACIMI",0,0,0
"90",2015-10-15,"Cancelled","CATERING","FREZYA S","Yalova","CATERING FATURASI IÇINE ISLENDI",0,0,0
"91",2015-10-16,"Cancelled","CATERING","VATAN L","Arzew","Geminin yanasacagi limanin degismesi üzerine, ikmalci yeni limana ikmal yapamayacagini belirttigi için siparis iptal edilmistir.",50,0,50
"92",2015-10-17,"Cancelled","CATERING","BARON","Aliaga",".",0,0,0
"93",2015-10-17,"Cancelled","CATERING","ECE NUR BAYRAKTAR","Magdalla","Magdalla yerine ikmali Port Qasim de yapiyoruz",595,0,0
"94",2015-10-17,"Cancelled","CATERING","ECE NUR BAYRAKTAR","Magdalla","magdalla yrine Port Qasim da ikmal olacak",285,0,0
"95",2015-10-19,"Cancelled","CATERING","BEKS CENK","Singapore","liman degisikligi",0,0,0
"96",2015-10-19,"Cancelled","CATERING","KIRAN EUROPE","Mongla","SON DAKIKA ISTEK VE VE IKMALCI YETISTIREMEDIGI ICIN IPTAL EDILDI",120,0,0
"97",2015-10-21,"Cancelled","CATERING","KIRAN ISTANBUL","Gibraltar","BOT MASARINDAN DOLAYI IPTAL EDILDI.. KUMANYASINI CASABLANCADA IKMALLEMEYE PLANLIYORUZ..",0,0,0
"98",2015-10-21,"Cancelled","CATERING","MV MEDKON RIZE","Durban","SEFER IPTAL EDILDI.",0,0,0
