"","ORDERDATE","OPRID","SUBDIVISIONS","SHIPNAME","DELIVERYPORT","IPTALSEBEP","LDELIVERYEXPENCES","LLAUNCHSERVICE","LOTHEREXPENSES"
"1",2015-05-03,"Delivered","CATERING","KIRAN ISTANBUL","Kandla",NA,90,0,0
"2",2015-05-03,"Delivered","CATERING","KIRAN MARMARA","Singapore",NA,0,0,0
"3",2015-05-04,"Delivered","CATERING","KIRAN AUSTRALIA","Zeyport",NA,0,0,0
"4",2015-05-04,"Delivered","CATERING","KIRAN CARIBBEAN","Singapore",NA,0,0,0
"5",2015-05-04,"Delivered","CATERING","KIRAN ANATOLIA","Singapore",NA,0,0,0
"6",2015-05-05,"Delivered","CATERING","SIDER VEGA","Singapore",NA,0,0,0
"7",2015-05-05,"Delivered","CATERING","KIRAN AMERICA","Richards Bay",NA,0,0,0
"8",2015-05-05,"Delivered","CATERING","BEKS NAZIK","Aqaba",NA,0,0,0
"9",2015-05-06,"Delivered","CATERING","ARUNA ECE","Singapore",NA,0,0,0
"10",2015-05-06,"Delivered","CATERING","ARUNA ECE","Singapore",NA,0,0,0
"11",2015-05-06,"Delivered","CATERING","SIDER SUN","Rijeka",NA,0,0,0
"12",2015-05-06,"Delivered","CATERING","YM JUPITER","Zeyport",NA,0,0,0
"13",2015-05-07,"Delivered","CATERING","MUZAFFER ANA","Derince",NA,100,0,0
"14",2015-05-07,"Delivered","CATERING","ANZER","Rijeka",NA,0,0,0
"15",2015-05-10,"Delivered","CATERING","SIDER LUCK","Milazzo",NA,0,0,0
"16",2015-05-10,"Delivered","CATERING","YM MIRANDA","Singapore",NA,0,0,0
"17",2015-05-10,"Delivered","CATERING","KIRAN ADRIATIC","Cape Town",NA,0,0,0
"18",2015-05-10,"Delivered","CATERING","SIDER WARRIOR","Porto Vesme",NA,0,0,0
"19",2015-05-10,"Delivered","CATERING","KIRAN EUROPE","Singapore",NA,0,0,0
"20",2015-05-10,"Delivered","CATERING","POCHARD S","Zeyport",NA,0,0,0
"21",2015-05-10,"Delivered","CATERING","CATHARINA 1","Zeyport",NA,0,0,0
"22",2015-05-12,"Delivered","CATERING","KIRAN TURKIYE","Guaiba Island Port",NA,0,495,30
"23",2015-05-12,"Delivered","CATERING","BEKS NAZIK","Aqaba",NA,0,0,0
"24",2015-05-12,"Delivered","CATERING","UTA","Zeyport",NA,0,0,0
"25",2015-05-12,"Delivered","CATERING","CT DUBLIN","Singapore",NA,800,0,0
"26",2015-05-12,"Delivered","CATERING","CT CORK","Kumport",NA,0,0,0
"27",2015-05-12,"Delivered","CATERING","CIMIL","Kumport",NA,0,0,0
"28",2015-05-12,"Delivered","CATERING","KIRAN ASYA","Singapore",NA,0,0,0
"29",2015-05-12,"Delivered","CATERING","NACC ITACA (SIDER ITACA)","Split",NA,0,0,0
"30",2015-05-12,"Delivered","CATERING","FILYOZ","Midia",NA,0,0,0
"31",2015-05-12,"Delivered","CATERING","AKDENIZ-M","Puerto Cabello",NA,0,0,0
"32",2015-05-12,"Delivered","CATERING","NAHIDE M","Altamira",NA,0,0,0
"33",2015-05-12,"Delivered","CATERING","KAPTAN ERDOGAN","Zeyport",NA,0,0,0
"34",2015-05-12,"Delivered","CATERING","NIMET","Castellon",NA,0,0,0
"35",2015-05-12,"Delivered","CATERING","LODESTAR S","Mersin",NA,0,0,0
"36",2015-05-12,"Delivered","CATERING","BARON","Ravenna",NA,350,0,0
"37",2015-05-13,"Delivered","CATERING","PACIFIC OCEAN","Zeyport",NA,0,0,0
"38",2015-05-13,"Delivered","CATERING","FETEKOZ","Kumport",NA,0,0,0
"39",2015-05-13,"Delivered","CATERING","OVIT","Zeyport",NA,0,0,0
"40",2015-05-13,"Delivered","CATERING","YM MARS","Aliaga",NA,0,0,0
"41",2015-05-13,"Delivered","CATERING","MV MEDKON SINOP","Rotterdam",NA,0,0,0
"42",2015-05-13,"Delivered","CATERING","MV MEDKON GEMLIK","Las Palmas",NA,0,0,0
"43",2015-05-17,"Delivered","CATERING","OKTEM AKSOY","Zeyport",NA,0,0,0
"44",2015-05-17,"Delivered","CATERING","NACC ALICUDI","Livorno",NA,0,0,0
"45",2015-05-17,"Delivered","CATERING","FILIBOZ","Zeyport",NA,0,0,0
"46",2015-05-17,"Delivered","CATERING","KIRAN CARIBBEAN","Mumbai",NA,195,0,0
"47",2015-05-18,"Delivered","CATERING","KIRAN CHINA","Chittagong",NA,50,70,50
"48",2015-05-18,"Delivered","CATERING","KIRAN BOSPHORUS","Zeyport",NA,0,0,0
"49",2015-05-19,"Delivered","CATERING","ASI-M","New Orleans",NA,0,0,0
"50",2015-05-19,"Delivered","CATERING","PUFFIN S","Izmit",NA,359.15,0,0
"51",2015-05-20,"Delivered","CATERING","SIDER KING","Zeyport",NA,0,0,0
"52",2015-05-20,"Delivered","CATERING","M.EMIR AKSOY","San Antonio(CHL)",NA,0,0,0
"53",2015-05-20,"Delivered","CATERING","CS CIHAN","Aliaga",NA,0,0,0
"54",2015-05-21,"Delivered","CATERING","SIDER PONZA","La Spezia",NA,100,0,80
"55",2015-05-21,"Delivered","CATERING","KAPTAN ERDOGAN","Diliskelesi",NA,125,0,0
"56",2015-05-21,"Delivered","CATERING","BEGONIA S","Zeyport",NA,0,0,0
"57",2015-05-21,"Delivered","CATERING","YM MARS","Le Havre",NA,0,0,0
"58",2015-05-21,"Delivered","CATERING","SIDER TIS","Koper",NA,0,0,0
"59",2015-05-24,"Delivered","CATERING","OCEAN SPIRIT","Zeyport",NA,0,0,0
"60",2015-05-24,"Delivered","CATERING","ZEYNEP KIRAN","Zeyport",NA,0,0,0
"61",2015-05-24,"Delivered","CATERING","VATAN L","Skikda",NA,80,0,0
"62",2015-05-24,"Delivered","CATERING","KIRAN ISTANBUL","Saldanha Bay",NA,0,0,0
"63",2015-05-24,"Delivered","CATERING","KIRAN ISTANBUL","Saldanha Bay",NA,0,0,0
"64",2015-05-24,"Delivered","CATERING","MEDKON IZMIR","Kumport",NA,200,0,0
"65",2015-05-24,"Delivered","CATERING","MEDKON ISTANBUL","Kumport",NA,125,0,0
"66",2015-05-24,"Delivered","CATERING","SIDER LIU","Thisvi",NA,270,0,0
"67",2015-05-26,"Delivered","CATERING","SIDER LUCK","Venice (Porto Marghera)",NA,55,0,0
"68",2015-05-26,"Delivered","CATERING","BARON","Zeyport",NA,100,0,0
"69",2015-05-26,"Delivered","CATERING","ELEVIT","Houston",NA,0,0,0
"70",2015-05-27,"Delivered","CATERING","YM NEPTUNE","Jeddah",NA,0,0,0
"71",2015-05-27,"Delivered","CATERING","BEKS YILMAZ","Gibraltar",NA,0,0,0
"72",2015-05-27,"Delivered","CATERING","SIDER SHARK","Ravenna",NA,65,75,0
"73",2015-05-28,"Delivered","CATERING","UTA","Zeyport",NA,0,0,0
"74",2015-05-28,"Delivered","CATERING","BALD","Zeyport",NA,0,0,0
"75",2015-05-28,"Delivered","CATERING","BALD","Zeyport",NA,0,0,0
"76",2015-05-28,"Delivered","CATERING","BALD","Zeyport",NA,0,0,0
"77",2015-05-29,"Delivered","CATERING","YM JUPITER","Bandar Imam Khomeini",NA,0,0,0
"78",2015-05-31,"Delivered","CATERING","ARUNA HULYA","Dammam",NA,0,0,0
"79",2015-05-31,"Delivered","CATERING","SIDER GLADIATOR","Ravenna",NA,65,0,0
"80",2015-05-31,"Delivered","CATERING","BEKS CENK","Paranagua",NA,0,0,0
"81",2015-05-31,"Delivered","CATERING","BEKS HALIL","Singapore",NA,0,0,0
"82",2015-05-31,"Delivered","CATERING","SIDER JOY","Ravenna",NA,65,0,0
"83",2015-06-01,"Delivered","CATERING","KIRAN AFRICA","Tuzla",NA,0,0,0
"84",2015-06-02,"Delivered","CATERING","SIDER PAMINA-NOVA","Aveiro",NA,0,0,0
"85",2015-06-02,"Delivered","CATERING","POCHARD S","Zeyport",NA,0,0,0
"86",2015-06-02,"Delivered","CATERING","KAPTAN ARIF BAYRAKTAR","Macun",NA,0,0,0
"87",2015-06-03,"Delivered","CATERING","YM MIRANDA","Zeyport",NA,0,0,0
"88",2015-06-03,"Delivered","CATERING","HARMONY S","Zeyport",NA,0,0,0
"89",2015-06-03,"Delivered","CATERING","SIDER SHARK","Sfax",NA,0,0,0
"90",2015-06-04,"Delivered","CATERING","ARUNA ISMAIL","Ko Sichang",NA,150,0,0
"91",2015-06-04,"Delivered","CATERING","PACIFIC OCEAN","Zonguldak",NA,350,0,0
"92",2015-06-05,"Delivered","CATERING","BEKS NAZIK","Fujairah",NA,0,0,0
"93",2015-06-07,"Delivered","CATERING","KIRAN EURASIA","Singapore",NA,0,0,0
"94",2015-06-07,"Delivered","CATERING","SIDER VEGA","Hoping",NA,0,0,0
"95",2015-06-07,"Delivered","CATERING","SIDER SUN","Rijeka",NA,0,0,0
"96",2015-06-07,"Delivered","CATERING","KIRAN AUSTRALIA","Zeyport",NA,0,0,0
"97",2015-06-07,"Delivered","CATERING","MUZAFFER ANA","Ashdod",NA,0,0,0
"98",2015-06-08,"Delivered","CATERING","SELIN-M","San Lorenzo(ARG)",NA,500,650,0
"99",2015-06-08,"Delivered","CATERING","BEKS HALIL","Aliaga",NA,0,0,0
"100",2015-06-08,"Delivered","CATERING","CATHARINA 1","Zeyport",NA,0,0,0
"101",2015-06-09,"Delivered","CATERING","PUFFIN S","Ashdod",NA,0,0,0
"102",2015-06-09,"Delivered","CATERING","PUFFIN S","Zeyport",NA,0,0,0
"103",2015-06-09,"Delivered","CATERING","KIRAN ADRIATIC","Kandla",NA,0,0,0
"104",2015-06-10,"Delivered","CATERING","SIDER SUN","Rijeka",NA,0,0,0
"105",2015-06-10,"Delivered","CATERING","ANZER","Tarragona",NA,0,0,0
"106",2015-06-10,"Delivered","CATERING","ELEVIT","Montreal",NA,0,0,0
"107",2015-06-10,"Delivered","CATERING","BEGONIA S","Ashdod",NA,0,0,0
"108",2015-06-10,"Delivered","CATERING","KIRAN BOSPHORUS","Iskenderun",NA,100,0,0
"109",2015-06-10,"Delivered","CATERING","MV MEDKON RIZE","Lome",NA,0,0,0
"110",2015-06-10,"Delivered","CATERING","ZEYNEP KIRAN","Zeyport",NA,0,0,0
"111",2015-06-10,"Delivered","CATERING","UTA","Casablanca",NA,0,0,0
"112",2015-06-10,"Delivered","CATERING","CIMIL","Zeyport",NA,0,0,0
"113",2015-06-10,"Delivered","CATERING","CT CORK","Zeyport",NA,0,0,0
"114",2015-06-11,"Delivered","CATERING","KIRAN AMERICA","Paradip",NA,200,0,0
"115",2015-06-11,"Delivered","CATERING","ARUNA ECE","Banjarmasin",NA,250,0,0
"116",2015-06-11,"Delivered","CATERING","KIRAN CASPIAN","Zhoushan",NA,0,0,0
"117",2015-06-11,"Delivered","CATERING","ERDOGAN SENKAYA","Kartal",NA,0,0,0
"118",2015-06-11,"Delivered","CATERING","BARON","Zeyport",NA,0,0,0
"119",2015-06-11,"Delivered","CATERING","FETEKOZ","Poti",NA,0,0,0
"120",2015-06-11,"Delivered","CATERING","NIMET","Valencia",NA,0,0,0
"121",2015-06-11,"Delivered","CATERING","ERDOGAN SENKAYA","Zeyport",NA,0,0,0
"122",2015-06-11,"Delivered","CATERING","SIDER PONZA","Split",NA,0,0,0
"123",2015-06-11,"Delivered","CATERING","SIDER DREAM","Singapore",NA,0,0,0
"124",2015-06-14,"Delivered","CATERING","KIRAN ANATOLIA","Singapore",NA,0,0,0
"125",2015-06-14,"Delivered","CATERING","KIRAN MARMARA","Richards Bay",NA,0,0,0
"126",2015-06-14,"Delivered","CATERING","KIRAN CHINA","Singapore",NA,0,0,0
"127",2015-06-14,"Delivered","CATERING","KIRAN ASYA","Duqm",NA,295,0,0
"128",2015-06-15,"Delivered","CATERING","SIDER WARRIOR","Augusta",NA,250,0,0
"129",2015-06-15,"Delivered","CATERING","NACC ITACA (SIDER ITACA)","Porto Vesme",NA,0,0,0
"130",2015-06-15,"Delivered","CATERING","YM MARS","Haifa",NA,0,0,0
"131",2015-06-15,"Delivered","CATERING","YM NEPTUNE","Yanbu",NA,0,0,0
"132",2015-06-15,"Delivered","CATERING","KIRAN ADRIATIC","Krishnapatnam",NA,475,0,0
"133",2015-06-17,"Delivered","CATERING","KAPTAN ERDOGAN","Zeyport",NA,0,0,0
"134",2015-06-17,"Delivered","CATERING","YM JUPITER","Yanbu",NA,0,0,0
"135",2015-06-18,"Delivered","CATERING","KIRAN TURKIYE","Singapore",NA,0,0,0
"136",2015-06-18,"Delivered","CATERING","SIDER TIS","Venice (Porto Marghera)",NA,55,0,0
"137",2015-06-18,"Delivered","CATERING","SIDER TIS","Venice (Porto Marghera)",NA,0,0,0
"138",2015-06-18,"Delivered","CATERING","YM JUPITER","Suez",NA,0,0,0
"139",2015-06-18,"Delivered","CATERING","SIDER KING","Zeyport",NA,0,0,0
"140",2015-06-18,"Delivered","CATERING","OVIT","Genoa",NA,250,0,0
"141",2015-06-18,"Delivered","CATERING","LODESTAR S","Zeyport",NA,0,0,0
"142",2015-06-18,"Delivered","CATERING","LODESTAR S","Zeyport",NA,0,0,0
"143",2015-06-18,"Delivered","CATERING","YM MIRANDA","Zeyport",NA,0,120,0
"144",2015-06-21,"Delivered","CATERING","HIZIR G","Abu Dhabi",NA,0,0,0
"145",2015-06-21,"Delivered","CATERING","ZEYNEP KIRAN","Bandirma",NA,0,0,0
"146",2015-06-21,"Delivered","CATERING","BEGONIA S","Bilbao",NA,0,0,0
"147",2015-06-21,"Delivered","CATERING","KIRAN CARIBBEAN","Singapore",NA,0,0,0
"148",2015-06-22,"Delivered","CATERING","FILYOZ","Zeyport",NA,0,0,0
"149",2015-06-22,"Delivered","CATERING","CT DUBLIN","Singapore",NA,0,0,0
"150",2015-06-22,"Delivered","CATERING","MIRA R","New Mangalore",NA,195,0,0
"151",2015-06-22,"Delivered","CATERING","MV MEDKON SINOP","Genoa",NA,450,0,0
"152",2015-06-22,"Delivered","CATERING","MV MEDKON SINOP","Genoa",NA,0,0,0
"153",2015-06-22,"Delivered","CATERING","MV MEDKON GEMLIK","Las Palmas",NA,0,0,0
"154",2015-06-22,"Delivered","CATERING","MV MEDKON GEMLIK","Las Palmas",NA,0,0,0
"155",2015-06-22,"Delivered","CATERING","KIRAN EUROPE","Yangjiang",NA,67,0,0
"156",2015-06-22,"Delivered","CATERING","ARUNA ISMAIL","Singapore",NA,0,0,0
"157",2015-06-22,"Delivered","CATERING","KIRAN CASPIAN","Zhoushan",NA,0,0,0
"158",2015-06-23,"Delivered","CATERING","NACC ALICUDI","Taranto",NA,0,0,0
"159",2015-06-23,"Delivered","CATERING","SIDER PONZA","Brindisi",NA,70,0,0
"160",2015-06-23,"Delivered","CATERING","SIDER PONZA","Brindisi",NA,0,0,0
"161",2015-06-23,"Delivered","CATERING","YM MARS","Zeyport",NA,0,0,0
"162",2015-06-23,"Delivered","CATERING","VATAN L","Venice (Porto Marghera)",NA,50,0,0
"163",2015-06-23,"Delivered","CATERING","BALD","Zeyport",NA,0,0,0
"164",2015-06-24,"Delivered","CATERING","BEKS NAZIK","Adabiya",NA,0,0,0
"165",2015-06-24,"Delivered","CATERING","FILIBOZ","Aveiro",NA,0,0,0
"166",2015-06-24,"Delivered","CATERING","FILIBOZ","Aveiro",NA,0,0,0
"167",2015-06-24,"Delivered","CATERING","MV MEDKON SINOP","Bremen",NA,0,0,0
"168",2015-06-24,"Delivered","CATERING","CS CIHAN","Livorno",NA,0,0,50
"169",2015-06-24,"Delivered","CATERING","SIDER GLADIATOR","Castellon",NA,0,0,0
"170",2015-06-24,"Delivered","CATERING","CS CIHAN","Aliaga",NA,0,0,0
"171",2015-06-25,"Delivered","CATERING","KIRAN ISTANBUL","Singapore",NA,0,0,0
"172",2015-06-25,"Delivered","CATERING","SIDER DREAM","Mumbai","ARMATOR KENDI TEMIN EDICEK.",0,0,0
"173",2015-06-25,"Delivered","CATERING","ARUNA HULYA","Dammam",NA,0,0,0
"174",2015-06-25,"Delivered","CATERING","KIRAN ADRIATIC","Singapore",NA,0,0,0
"175",2015-06-25,"Delivered","CATERING","ORUC G","Zeyport",NA,0,0,0
"176",2015-06-26,"Delivered","CATERING","OCEAN SPIRIT","Nikolayev",NA,0,0,0
"177",2015-06-28,"Delivered","CATERING","PUFFIN S","Zeyport",NA,0,0,0
"178",2015-06-28,"Delivered","CATERING","PUFFIN S","Zeyport",NA,0,0,0
"179",2015-06-28,"Delivered","CATERING","SIDER SHARK","Pozzallo",NA,100,0,0
"180",2015-06-28,"Delivered","CATERING","SIDER SHARK","Pozzallo",NA,0,0,0
"181",2015-06-28,"Delivered","CATERING","BALD","Canakkale",NA,200,0,0
"182",2015-06-28,"Delivered","CATERING","SIDER LUCK","Zeyport",NA,0,0,0
"183",2015-06-28,"Delivered","CATERING","ORUC G","Zeyport",NA,0,0,0
"184",2015-06-28,"Delivered","CATERING","SIDER GLADIATOR","Castellon",NA,0,0,0
"185",2015-06-28,"Delivered","CATERING","YM MIRANDA","Muscat",NA,0,0,100
"186",2015-06-29,"Delivered","CATERING","ARCTIC OCEAN","Bandar Imam Khomeini",NA,0,0,0
"187",2015-06-29,"Delivered","CATERING","KAPTAN ARIF BAYRAKTAR","Zhoushan",NA,0,0,0
"188",2015-06-29,"Delivered","CATERING","SIDER PAMINA-NOVA","Aveiro",NA,0,0,0
"189",2015-06-29,"Delivered","CATERING","SIDER PAMINA-NOVA","Aveiro",NA,0,0,0
"190",2015-06-29,"Delivered","CATERING","MEDKON ISTANBUL","Tuzla",NA,0,0,0
"191",2015-06-29,"Delivered","CATERING","BARON","Venice (Porto Marghera)",NA,55,0,0
"192",2015-06-30,"Delivered","CATERING","KIRAN AFRICA","Zeyport",NA,0,0,0
"193",2015-06-30,"Delivered","CATERING","BEKS YILMAZ","Amsterdam",NA,0,0,0
"194",2015-06-30,"Delivered","CATERING","BEKS HALIL","Shanghai",NA,0,0,0
"195",2015-06-30,"Delivered","CATERING","BEKS YILMAZ","Amsterdam",NA,0,0,0
"196",2015-06-30,"Delivered","CATERING","MV MEDKON RIZE","Ravenna",NA,55,0,0
"197",2015-06-30,"Delivered","CATERING","NIMET","Valencia",NA,0,0,0
"198",2015-06-30,"Delivered","CATERING","TBC PRINCESS","Paranagua",NA,0,0,0
"199",2015-06-30,"Delivered","CATERING","SAMSKIP SKAFTAFELL","Rotterdam",NA,0,0,0
"200",2015-06-30,"Delivered","CATERING","SAMSKIP SKAFTAFELL","Rotterdam",NA,0,0,0
"201",2015-06-30,"Delivered","CATERING","SAMSKIP SKAFTAFELL","Rotterdam",NA,0,0,0
"202",2015-07-01,"Delivered","CATERING","PACIFIC OCEAN","Zeyport",NA,0,0,0
"203",2015-07-01,"Delivered","CATERING","POCHARD S","Ashdod",NA,0,0,0
"204",2015-07-01,"Delivered","CATERING","SIDER VEGA","Batangas",NA,30,0,0
"205",2015-07-01,"Delivered","CATERING","NACC ITACA (SIDER ITACA)","Split",NA,0,0,0
"206",2015-07-01,"Delivered","CATERING","CIMIL","Zeyport",NA,0,0,0
"207",2015-07-01,"Delivered","CATERING","FILYOZ","Zeyport",NA,0,0,0
"208",2015-07-02,"Delivered","CATERING","KIRAN ANATOLIA","Ashdod",NA,0,0,0
"209",2015-07-02,"Delivered","CATERING","UTA","Zeyport",NA,0,0,0
"210",2015-07-02,"Delivered","CATERING","UTA","Zeyport",NA,0,0,0
"211",2015-07-05,"Delivered","CATERING","CT CORK","Zeyport",NA,0,0,0
"212",2015-07-05,"Delivered","CATERING","ELEVIT","Houston",NA,0,0,0
"213",2015-07-05,"Delivered","CATERING","OCEAN SPIRIT","Zeyport",NA,0,0,0
"214",2015-07-05,"Delivered","CATERING","NIMET","Valencia",NA,200,0,0
"215",2015-07-05,"Delivered","CATERING","NIMET","Valencia",NA,0,0,0
"216",2015-07-05,"Delivered","CATERING","KIRAN AMERICA","Singapore",NA,0,0,0
"217",2015-07-05,"Delivered","CATERING","CT DUBLIN","Port Muhammad Bin Qasim",NA,280,0,0
"218",2015-07-06,"Delivered","CATERING","YM JUPITER","Rotterdam",NA,0,0,0
"219",2015-07-06,"Delivered","CATERING","BEKS HALIL","Shanghai",NA,0,0,0
"220",2015-07-06,"Delivered","CATERING","SIDER TIS","Ravenna",NA,30,0,0
"221",2015-07-06,"Delivered","CATERING","BEKS CENK","Durban",NA,0,0,0
"222",2015-07-06,"Delivered","CATERING","MV MEDKON RIZE","Ravenna",NA,0,0,0
"223",2015-07-06,"Delivered","CATERING","SAMSKIP SKAFTAFELL","Rotterdam",NA,0,0,0
"224",2015-07-07,"Delivered","CATERING","SIDER TIS","Ravenna",NA,0,0,0
"225",2015-07-07,"Delivered","CATERING","ANZER","Haifa",NA,0,0,0
"226",2015-07-08,"Delivered","CATERING","KIRAN CASPIAN","Qingdao",NA,0,0,0
"227",2015-07-08,"Delivered","CATERING","SIDER WARRIOR","Livorno",NA,0,0,0
"228",2015-07-08,"Delivered","CATERING","SIDER VEGA","Batangas",NA,200,0,0
"229",2015-07-08,"Delivered","CATERING","SIDER VEGA","Batangas",NA,90,0,0
"230",2015-07-08,"Delivered","CATERING","MEDKON IZMIR","Ambarli",NA,0,0,0
"231",2015-07-08,"Delivered","CATERING","ERDOGAN SENKAYA","Zeyport",NA,0,0,0
"232",2015-07-08,"Delivered","CATERING","SIDER SUN","Bari",NA,0,0,0
"233",2015-07-08,"Delivered","CATERING","SIDER JOY","Cartagena(ESP)",NA,0,0,0
"234",2015-07-08,"Delivered","CATERING","SIDER JOY","Cartagena(ESP)",NA,0,0,0
"235",2015-07-08,"Delivered","CATERING","SIDER JOY","Safi",NA,180,0,0
"236",2015-07-08,"Delivered","CATERING","SIDER DREAM","Mumbai",NA,0,50,0
"237",2015-07-09,"Delivered","CATERING","HIZIR G","Sohar",NA,130,0,0
"238",2015-07-09,"Delivered","CATERING","ORUC G","Ceuta",NA,0,0,0
"239",2015-07-09,"Delivered","CATERING","ECE NUR BAYRAKTAR","Jebel Ali",NA,0,0,0
"240",2015-07-10,"Delivered","CATERING","MUZAFFER ANA","Zeyport",NA,0,0,0
"241",2015-07-10,"Delivered","CATERING","SIDER PONZA","Caronte",NA,0,0,0
"242",2015-07-10,"Delivered","CATERING","SIDER PONZA","Caronte",NA,0,0,0
"243",2015-07-11,"Delivered","CATERING","CATHARINA 1","Zeyport",NA,0,0,0
"244",2015-07-11,"Delivered","CATERING","BALD","Zeyport",NA,0,0,0
