"","Adress","Latitude","Longtitude","WorldAverage"
"1","Aarhus",56.162939,10.203921,"331.73"
"2","Abidjan",5.3599517,-4.0082563,"320.52"
"3","Abu Dhabi",24.453884,54.3773438,"256.41"
"4","Adabiya",29.87274,32.467621,"248.33"
"5","Adelaide",-34.9284989,138.6007456,"352.72"
"6","Aden",12.7854969,45.0186548,"299.72"
"7","Agadir",30.4277547,-9.5981072,"296.3"
"8","Agioi Theodoroi",37.9282447,23.1433311,"241.44"
"9","Alexandria(EGY)",31.2000924,29.9187387,"252.51"
"10","Algeciras",36.1407591,-5.456233,"242.9"
"11","Algeciras Bay",36.1387978,-5.3999649,"268.04"
"12","Algiers",36.753768,3.0587561,"293.84"
"13","Aliaga",38.799561,26.97074,"276.46"
"14","Alicante",38.3459963,-0.4906855,"275.43"
"15","Altamira",17.5899444,-102.1117869,"320.87"
"16","Altinova",40.6966449,29.510108,"290.53"
"17","Ambarli",40.9716374,28.6796565,"268.54"
"18","Amsterdam",52.3666969,4.8945398,"309.68"
"19","Ancona",43.6158299,13.518915,"289.79"
"20","Antalya",36.8968908,30.7133233,"325.22"
"21","Antwerp",51.2194475,4.4024643,"308.81"
"22","Apapa-Lagos",6.45528,3.3640841,"302.55"
"23","Aqaba",29.5320522,35.0063209,"283.77"
"24","Aratu",-12.77648,-38.4981107,"292.81"
"25","Archangel",64.5333,40.5166,"303.8"
"26","Ashdod",31.804381,34.655314,"312.47"
"27","Augusta",33.4734978,-82.0105148,"316.15"
"28","Aveiro",40.6405055,-8.6537539,"308.8"
"29","Aviles",43.5579523,-5.9246653,"252.21"
"30","Avonmouth",51.5022576,-2.6914364,"333.89"
"31","Bahia Blanca",-38.7183177,-62.2663478,"237.18"
"32","Bahrain",26.0667,50.5577,"287.62"
"33","Bakar",40.623792,-73.9646942,"274.67"
"34","Balboa",32.7341479,-117.144553,"363.55"
"35","Baltimore",39.2903848,-76.6121893,"337.84"
"36","Bandirma",40.353707,27.971405,"273.999"
"37","Barcelona",41.3850639,2.1734035,"237.226"
"38","Bari",41.1171432,16.8718715,"284.75"
"39","Barletta",41.3251,16.285,"266.98"
"40","Barranquilla",11.0041072,-74.8069813,"323.94"
"41","Bayuquan",40.230636,122.107814,"298.52"
"42","Beira",-19.8315949,34.8370183,"345.2"
"43","Bejaia",36.7515258,5.0556837,"306.03"
"44","Belfast",54.597285,-5.93012,"313.4"
"45","Berdiansk",46.7737707,36.8034779,"285.54"
"46","Big Creek",16.5141,88.4039,"288.02"
"47","Bilbao",43.2630126,-2.9349852,"246.56"
"48","Bintulu",3.171322,113.0419069,"369.62"
"49","Bizerta",37.2767579,9.8641609,"265.9"
"50","Bordeaux",44.837789,-0.57918,"294.65"
"51","Boryeong",36.3331629,126.6129441,"247.81"
"52","BOSPHORUS STRAIT",41.2213125,29.1290157,"276.69"
"53","Bosphorus Straits",41.2213125,29.1290157,"294.9"
"54","Bourgas",42.5047926,27.4626361,"256.08"
"55","Brake",53.33868,8.493162,"316.78"
"56","Bremen",53.0792962,8.8016936,"349.98"
"57","Bremerhaven",53.5395845,8.5809425,"284.97"
"58","Brindisi",40.6327278,17.9417616,"295"
"59","Brisbane",-27.4697707,153.0251235,"323.07"
"60","Bristol",51.5031,2.6988,"325.51"
"61","Brunswick",31.1318,81.5369,"318.86"
"62","Buchanan(LBR)",5.857,-10.054,"303.67"
"63","Buenaventura",3.8830471,-77.0197212,"301.36"
"64","Buenos Aires",-34.6036844,-58.3815591,"288.71"
"65","Burnside",40.7108081,-73.9508109,"326.11"
"66","Busan",35.1795543,129.0756416,"267.42"
"67","Cadiz",36.5270612,-6.2885962,"283.48"
"68","Cagliari",39.2238411,9.1216613,"289.39"
"69","Calaca",40.6833996,-73.9565443,"345.96"
"70","Caldera(CRI)",9.9400553,-84.7276382,"363.68"
