Adress,Latitude,Longtitude
Aarhus,56.162939,10.203921
Abidjan,5.3599517,-4.0082563
Abu Dhabi,24.453884,54.3773438
Adabiya,29.87274,32.467621
Adelaide,-34.9284989,138.6007456
Aden,12.7854969,45.0186548
Agadir,30.4277547,-9.5981072
Agioi Theodoroi,37.9282447,23.1433311
Alexandria(EGY),31.2000924,29.9187387
Algeciras,36.1407591,-5.456233
Algeciras Bay,36.1387978,-5.3999649
Algiers,36.753768,3.0587561
Aliaga,38.799561,26.97074
Alicante,38.3459963,-0.4906855
Altamira,17.5899444,-102.1117869
Altinova,40.6966449,29.510108
Ambarli,40.9716374,28.6796565
Amsterdam,52.3666969,4.8945398
Ancona,43.6158299,13.518915
Antalya,36.8968908,30.7133233
Antwerp,51.2194475,4.4024643
Apapa-Lagos,6.45528,3.3640841
Aqaba,29.5320522,35.0063209
Aratu,-12.77648,-38.4981107
Archangel,64.5333,40.5166
Ashdod,31.804381,34.655314
Augusta,33.4734978,-82.0105148
Aveiro,40.6405055,-8.6537539
Aviles,43.5579523,-5.9246653
Avonmouth,51.5022576,-2.6914364
Bahia Blanca,-38.7183177,-62.2663478
Bahrain,26.0667,50.5577
Bakar,40.623792,-73.9646942
Balboa,32.7341479,-117.144553
Baltimore,39.2903848,-76.6121893
Bandirma,40.353707,27.971405
Barcelona,41.3850639,2.1734035
Bari,41.1171432,16.8718715
Barletta,41.3251,16.285
Barranquilla,11.0041072,-74.8069813
Bayuquan,40.230636,122.107814
Beira,-19.8315949,34.8370183
Bejaia,36.7515258,5.0556837
Belfast,54.597285,-5.93012
Berdiansk,46.7737707,36.8034779
Big Creek,16.5141,88.4039
Bilbao,43.2630126,-2.9349852
Bintulu,3.171322,113.0419069
Bizerta,37.2767579,9.8641609
Bordeaux,44.837789,-0.57918
Boryeong,36.3331629,126.6129441
BOSPHORUS STRAIT,41.2213125,29.1290157
Bosphorus Straits,41.2213125,29.1290157
Bourgas,42.5047926,27.4626361
Brake,53.33868,8.493162
