"","x","freq"
"1"," STAD",23
"2","15 TEMMUZ ",41
"3","7 STARS
",1
"4","ABIDJAN EXPRESS",17
"5","ADELA",12
"6","ADES",2
"7","AGDASH",1
"8","AGIA EKATERINI",6
"9","AKDENIZ",8
"10","AKDENIZ-M",33
"11","AKHMED MAHMUDOV",2
"12","ALAND",11
"13","ALKAR TRUST",1
"14","ALLEGRI",23
"15","ALTAN",3
"16","ANTAKYA M",26
"17","ANTARI",7
"18","ANZER",32
"19","ARCTIC OCEAN",7
"20","ARROW STAR 1",31
"21","ARSOS",25
"22","ARUNA ECE",33
"23","ARUNA HULYA",42
"24","ARUNA ISMAIL",33
"25","AS CAMELLIA",40
"26","AS CAROLINA",52
"27","AS CLEMENTINA",37
"28","ASI-M",32
"29","ASIAN MOON",41
"30","ASIAN SUN",30
"31","ASIAN TRADER",35
"32","ASTRA",5
"33","ATLANTIC RUNNER II ",3
"34","AURETTE A.",28
"35","AUTUMN D",6
"36","BALD",13
"37","BANDIRMA",17
"38","BARON",11
"39","BARRIER",6
"40","BBC NEVADA",1
"41","BBC ROSARIO",19
"42","BEE",41
"43","BEGONIA S",13
"44","BEKS CENK",52
"45","BEKS CEYDA",54
"46","BEKS HALIL",58
"47","BEKS MUNEVVER",46
"48","BEKS NAZIK",57
"49","BEKS YILMAZ",51
"50","BESIKTAS-M",27
"51","BESIKTAS AZERBAIJAN",23
"52","BESIKTAS GALATA",18
"53","BESIKTAS GH",12
"54","BESIKTAS HALLAND",10
"55","BESIKTAS ICELAND",41
"56","BESIKTAS KAZAKHSTAN",37
"57","BESIKTAS ORIENT",12
"58","BESIKTAS PERA",21
"59","BESIKTAS ZEALAND",34
"60","BOMAR HAMBURG",5
"61","BOMAR MILIONE",5
"62","BOUNDARY",7
"63","BUSE TRIO",13
"64","BUSE TRIO(EX)",45
"65","C-PIONEER",10
"66","C.ENDEAVOUR",8
"67","C.PIONEER",13
"68","CAJU",22
"69","CAPE ISTANBUL",32
"70","CAPTAIN NAGDALIYEV",1
"71","CARLA",9
"72","CASABLANCA A",25
"73","CASPIAN MARINER",3
"74","CATHARINA 1",10
"75","CC Delgada",56
"76","CC PARGO",28
"77","CEBIHAN",3
"78","CELINE",3
"79","CHARLIE B",29
"80","CHRISTA",42
"81","CIMIL",17
"82","CINZIA A",4
"83","CLAIRE A.",20
"84","COLUMBIA",5
"85","CORELLI",18
"86","CS CIHAN",9
"87","CT CORK",11
"88","CT DUBLIN",30
"89","CT WICKLOW",5
"90","DANIEL A",5
"91","DD EGE",4
"92","DD KARADENIZ",2
"93","DD MARMARA",5
"94","DENIZHAN TRIO ",27
"95","DENSA CHEETAH",8
"96","DENSA FALCON",11
"97","DENSA HAWK",5
"98","DIAMOND CANAKKALE",47
"99","DIANE A.",22
"100","DIONYSSIS A",22
"101","ECE NUR BAYRAKTAR",59
"102","ECE NUR K",3
"103","ELEVIT",3
"104","EMEK-S",39
"105","ERA S",31
"106","ERDOGAN SENKAYA",11
"107","ERTUGRUL BEY ",7
"108","ESPADON",60
"109","FALCON",4
"110","FALMOUTH",39
"111","FETEKOZ",32
"112","FILIBOZ",16
"113","FILYOZ",12
"114","FMT KNIDOS",9
"115","FORESTER",47
"116","FORTUNATE",3
"117","FORTUNE",24
"118","FOUMA",23
"119","FREZYA S",74
"120","GABRIEL A",17
"121","GAGLIARDA",19
"122","GALA TRIO",72
"123","GALA TRIO ",3
"124","GANNET S",9
"125","GEMINI MAESTRO",33
"126","GREASY",7
"127","GURONI",11
"128","HACI ALI SARI",8
"129","HANSE FORTUNE",1
"130","HARMONY S",79
"131","HEATHER",35
"132","HIZIR G",19
"133","Hyundai Antwerp
",2
"134","HYUNDAI DUBAI",5
