"","x","freq"
"1","(KOMASCO) Korea Marine Supply Co. Ltd.",132
"2","A.M.E.C. D.O.O. Rijeka",996
"3","Abalioglu Yem Soya ve Tekstil Sanayi A.S",27
"4","Abu Ali Shipping & suppliers Co.",188
"5","Acropolis Hellas EIRL",232
"6","Adasco Shipchandlers",233
"7","Admiral Harding Ltd =UK=",1281
"8","Admiral Marine Services Pvt Ltd =India =",1734
"9","Aktifedt Gida Turizm Pazarlama Dagitim Sanayi Tic. A.S.",42
"10","Al-Minhali Trading Company",355
"11","Alagil Kumanyacilik",37
"12","Allforsail, S.L.",1828
"13","Almansoob For Ship Supplies & General Trade",171
"14","Amos International (S) Pte Ltd",1
"15","Amreen Ship Care",225
"16","Antalia Tarim Lojistik Sanayi ve Ticaret A.S.",723
"17","Apollo Service Co",79
"18","Aqaba Pearl Shipchandler",32
"19","Artemis Ship Supply & Repairs Foreign Trade Co Ltd",124
"20","Asap Lda",30
"21","ASAP Panama Ship Supplier",187
"22","Asfa Gida San.Tic.Ltd.Sti.",1
"23","Astamar Group S.r.l",468
"24","Atlantic Maritime Ship Supply",111
"25","Atlantic Ship Service",451
"26","Atlas International Shipchandling & Trading Co Inc",32232
"27","Atlas Shipping Shiptaj SARL",212
"28","Avinato S.A.R.L",100
"29","AVS Küresel Gemi Tedarigi ve Yönetimi A.S.",1000
"30","Baltmarine Elcor Management LLC",298
"31","Baltona Shipchandlers Co Ltd",414
"32","Banchero Costa & C Agenzia Marittima SPA",413
"33","Bayport Global Supplies S.A.(Ex Puerto Y Bahía S.A. )",1382
"34","Belfast Ship Stores",370
"35","Benya Shipping S.A",148
"36","Blue Ocean Marine Service Co. Ltd",184
"37","Blue Water Agencies Ltd",128
"38","Boa Praça Importadora e Exportadora Ltda. 
",489
"39","C.I. Mambo S.A.S",3775
"40","C.P. Marine Supply Co. LTD",70
"41","Çagan Denizcilik Ve Gemi Hizmetleri",2
"42","Cape Town Ship Suppliers & Exporters +Pty Ltd",34
"43","Casa Angola Internacional, Importação e Exportação SA 
",967
"44","Chandling International (Pty) Ltd",123
"45","Chandra Enterprise",519
"46","Cmb Ambalaj San. ve Tic. Ltd. Sti",5
"47","Coast To Coast International Marine Services",80
"48","Coastallog LTDA.",138
"49","Con-Lash Supplies PTE LTD",480
"50","Cosmo Ship Ceuta S.L.",346
"51","Curacao Ship Chandler (Phillipines Ship Services)",32
"52","D2S Ltd",45
"53","Dasat International Inc.",21
"54","Discovery Marine Services, LLC.",306
"55","Donuk Firincilik Ürünleri San. Ve  Tic. A.S.",40
"56","Dragon Marine Service Co.,Ltd.",175
"57","Dsm Corridor Ships Chandelling Ltd.",181
"58","Ecolab Temizleme Sistemleri Ltd. Sti.",167
"59","Ecosse Marine Limited",187
"60","Edwardo Marine Services Co",2255
"61","Eis Maritimo ",10874
"62","ES Corea & Falchem ",1881
"63","Euro Shipstores",121
"64","Eva Marine Trading Co. Ltd. 
",134
"65","Everglory Marine Service, CV",72
"66","F&D Gemi Kumanyaciligi Tur. Ith. Ihr. ve Tic. Sti.",406
"67","Five Oceans SARL",107
"68","FMS Femson Marine",26
"69","Forgitos Marine Service Limited",465
"70","Fortuna International Ukraine Ltd",564
"71","Fuji Trading (Marine) B.V.",1301
"72","Fuji Trading Co. Ltd",20
"73","G.Pierotti Ship Supplier Ltda
",2993
"74","Gandara Chile S.A.",60
"75","GE-TA Tarim Ve Gida San.Tic.A.S.",13
"76","Gemlik Ship Chandler",37
"77","George Menaboni S.R.L.",849
"78","GHM Comércio , Exportaçao De Publicaaçoes Nauticas Ltda.",309
"79","Global Marine Trading CO LTD",554
"80","Global Ship Services",140
"81","GMS - Global Marine Supplies ",326
"82","Golden Harvest Shipping Service Co. Ltd.",2269
"83","Golden International Trading SARL",281
"84","Golden Masts for General Trading and Marine Services",14
"85","Group Wilsealand Sarl",111
"86","Groupe Maritalia S.A.",18
"87","Guadeloupe Import negoce International (GINIT)",247
"88","Gürkanlar Kuruyemis Gida Sanayi Ve Ticaret A.S",6
"89","Hammami & Sons Company Ltd",926
"90","Hellenic Marine Supply Co",106
"91","Help Marine & Suppliers Imp. Exp. De Prod. Mar. Ltda. 
",20
"92","Hilight Ship Services Int. Limited",91
"93","Honghua Marine Service Co. Ltd",5906
"94","Horgans Shipping & Offshore Services Ltd.",112
"95","Hutton & Co (Ships Chandlers) Ltd",598
"96","Ian Price Provedors Ltd",94
"97","Insarg Shipsuppliers SA",129
"98","Inversiones Meister S.A. (IMSA)",111
"99","Istanbul 34 Vapur Hizmetleri ve Deniz Isl. Ltd. Sti.",1
"100","Italmarine C.A. 
",23
"101","Jeyanth Shipchandlers",678
"102","JJ MM Maritime Suisca",131
"103","JM Korea CO. LTD",1375
"104","Jose Carteirinho Jaime Ship Chandlers",48
"105","Kamarin Ship Services",27416
"106","Karlo Corporation - Marine Group",454
"107","Karlu Ship Services Ltd.",114
"108","Karsan Karadeniz Kimya Ve Gida San. Tic. Ltd.Sti",575
"109","Kashima Rinkai Sangyo Co.,Ltd ",7
"110","Katharos Ship Chandler S.A.S",161
"111","Kayamar Denizcilik Kumanyacilik Sirketi Murat Kilinçoglu",1027
"112","Knudsen Suppliers Portugal SA",462
"113","Kohler Buharli Mak. Ltd. Sti.",1
"114","KULLANILMAYACAK Chandling International (Pty) Ltd",105
"115","Kuwait International Ship Chandlers & Marine Services Co. 
",16
"116","Layam Co. Ltd",1056
"117","Leeup Marine Services CO LTD",944
"118","Lidplast Plastik San ve Tic Ltd sti",1
"119","Linh Tien Commercial Service Company (Litico Shipchandler Company)",168
"120","Lions Ar Serviss",1755
"121","LLC Chayka Group",231
"122","Lucky Dolphin Marine Services",44
"123","M.S.S. Marine Service & Supply"" Ltd""",79
"124","Madouvalos Bros S.A.",163
"125","Maicon Logistics Pvt Ltd",27
"126","Marex Ship Supply",105
"127","Marinave Ship Suppliers",428
"128","Marine and Inland Services, Lda",39
"129","Marines Gida Ürünleri San. Ve Tic.A.S.",44
"130","Mattina Hnos. S.A.C.I.A.N.",1681
"131","Med Ship Supply S.R.L",177
"132","Mercantile Shipstores S.A.",48
"133","Merseyside Ship Stores Ltd",975
"134","Mert Pazarlama Ticaret ve Sanayi Ltd. Sti.",4
"135","Metro Grosmarket Bakirköy Alisveris Hizmetleri Tic. Ltd.Sti.",12351
